Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:28 EST
"Nutrient data for: 11391, Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil"
Nutrient,Unit,1Value per 100 g,"1 cup prepared = 150.0g","1 patty, oval (approx 3"" x 1-1/2"" x 1/2"") = 29.0g","1 package yield, 12 oz = 205.0g",
Proximates
"Water",g,55.95,83.92,16.23,114.70
"Energy",kcal,219,328,64,449
"Protein",g,2.65,3.98,0.77,5.43
"Total lipid (fat)",g,11.59,17.39,3.36,23.76
"Carbohydrate, by difference",g,28.51,42.77,8.27,58.45
"Fiber, total dietary",g,3.2,4.8,0.9,6.6
"Sugars, total",g,0.27,0.41,0.08,0.55
Minerals
"Calcium, Ca",mg,17,26,5,35
"Iron, Fe",mg,0.54,0.81,0.16,1.11
"Magnesium, Mg",mg,28,42,8,57
"Phosphorus, P",mg,79,118,23,162
"Potassium, K",mg,496,744,144,1017
"Sodium, Na",mg,15,22,4,31
"Zinc, Zn",mg,0.38,0.57,0.11,0.78
Vitamins
"Vitamin C, total ascorbic acid",mg,6.7,10.1,1.9,13.7
"Thiamin",mg,0.134,0.201,0.039,0.275
"Riboflavin",mg,0.033,0.050,0.010,0.068
"Niacin",mg,2.314,3.471,0.671,4.744
"Vitamin B-6",mg,0.236,0.354,0.068,0.484
"Folate, DFE",µg,16,24,5,33
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,2.19,3.29,0.64,4.49
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,18.1,27.1,5.2,37.1
Lipids
"Fatty acids, total saturated",g,0.934,1.401,0.271,1.915
"Fatty acids, total monounsaturated",g,7.295,10.943,2.116,14.955
"Fatty acids, total polyunsaturated",g,2.785,4.178,0.808,5.709
"Fatty acids, total trans",g,0.036,0.054,0.010,0.074
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
