Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:28 EST
"Nutrient data for: 11353, Potatoes, russet, flesh and skin, raw"
Nutrient,Unit,1Value per 100 g,"0.5 cup, diced = 75.0g","1 potato large (3"" to 4-1/4"" dia) = 369.0g","1 Potato medium (2-1/4"" to 3-1/4"" dia) = 213.0g","1 Potato small (1-3/4"" to 2-1/4"" dia) = 170.0g",
Proximates
"Water",g,78.58,58.94,289.96,167.38,133.59
"Energy",kcal,79,59,292,168,134
"Protein",g,2.14,1.60,7.90,4.56,3.64
"Total lipid (fat)",g,0.08,0.06,0.30,0.17,0.14
"Carbohydrate, by difference",g,18.07,13.55,66.68,38.49,30.72
"Fiber, total dietary",g,1.3,1.0,4.8,2.8,2.2
"Sugars, total",g,0.62,0.47,2.29,1.32,1.05
Minerals
"Calcium, Ca",mg,13,10,48,28,22
"Iron, Fe",mg,0.86,0.65,3.17,1.83,1.46
"Magnesium, Mg",mg,23,17,85,49,39
"Phosphorus, P",mg,55,41,203,117,94
"Potassium, K",mg,417,313,1539,888,709
"Sodium, Na",mg,5,4,18,11,8
"Zinc, Zn",mg,0.29,0.22,1.07,0.62,0.49
Vitamins
"Vitamin C, total ascorbic acid",mg,5.7,4.3,21.0,12.1,9.7
"Thiamin",mg,0.082,0.062,0.303,0.175,0.139
"Riboflavin",mg,0.033,0.025,0.122,0.070,0.056
"Niacin",mg,1.035,0.776,3.819,2.205,1.759
"Vitamin B-6",mg,0.345,0.259,1.273,0.735,0.587
"Folate, DFE",µg,14,10,52,30,24
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0
"Vitamin A, IU",IU,1,1,4,2,2
"Vitamin E (alpha-tocopherol)",mg,0.01,0.01,0.04,0.02,0.02
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.8,1.4,6.6,3.8,3.1
Lipids
"Fatty acids, total saturated",g,0.026,0.019,0.096,0.055,0.044
"Fatty acids, total monounsaturated",g,0.002,0.002,0.007,0.004,0.003
"Fatty acids, total polyunsaturated",g,0.043,0.032,0.159,0.092,0.073
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
