Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:29 EST
"Nutrient data for: 43142, Radishes, hawaiian style, pickled"
Nutrient,Unit,1Value per 100 g,"1 cup = 150.0g",
Proximates
"Water",g,91.50,137.25
"Energy",kcal,28,42
"Protein",g,1.10,1.65
"Total lipid (fat)",g,0.30,0.45
"Carbohydrate, by difference",g,5.20,7.80
"Fiber, total dietary",g,2.2,3.3
"Sugars, total",g,2.00,3.00
Minerals
"Calcium, Ca",mg,28,42
"Iron, Fe",mg,0.23,0.34
"Magnesium, Mg",mg,8,12
"Phosphorus, P",mg,31,46
"Potassium, K",mg,333,500
"Sodium, Na",mg,789,1184
"Zinc, Zn",mg,0.22,0.33
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.020,0.030
"Riboflavin",mg,0.030,0.045
"Niacin",mg,0.310,0.465
"Vitamin B-6",mg,0.100,0.150
"Folate, DFE",µg,9,14
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.5,0.8
Lipids
"Fatty acids, total saturated",g,0.092,0.138
"Fatty acids, total monounsaturated",g,0.050,0.075
"Fatty acids, total polyunsaturated",g,0.135,0.203
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
