Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:30 EST
"Nutrient data for: 11480, Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt"
Nutrient,Unit,1Value per 100 g,"1 cup = 223.0g",
Proximates
"Water",g,94.74,211.27
"Energy",kcal,17,38
"Protein",g,1.15,2.56
"Total lipid (fat)",g,0.13,0.29
"Carbohydrate, by difference",g,3.56,7.94
"Fiber, total dietary",g,1.3,2.9
"Sugars, total",g,1.69,3.77
Minerals
"Calcium, Ca",mg,17,38
"Iron, Fe",mg,0.48,1.07
"Magnesium, Mg",mg,13,29
"Phosphorus, P",mg,25,56
"Potassium, K",mg,194,433
"Sodium, Na",mg,2,4
"Zinc, Zn",mg,0.20,0.45
Vitamins
"Vitamin C, total ascorbic acid",mg,3.7,8.3
"Thiamin",mg,0.041,0.091
"Riboflavin",mg,0.040,0.089
"Niacin",mg,0.386,0.861
"Vitamin B-6",mg,0.045,0.100
"Folate, DFE",µg,8,18
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,9,20
"Vitamin A, IU",IU,177,395
"Vitamin E (alpha-tocopherol)",mg,0.12,0.27
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,4.2,9.4
Lipids
"Fatty acids, total saturated",g,0.027,0.060
"Fatty acids, total monounsaturated",g,0.010,0.022
"Fatty acids, total polyunsaturated",g,0.055,0.123
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
