Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:32 EST
"Nutrient data for: 11649, Tomato products, canned, sauce, spanish style"
Nutrient,Unit,1Value per 100 g,"1 cup = 244.0g","1 can, 15 oz (303 x 406) = 425.0g",
Proximates
"Water",g,89.08,217.36,378.59
"Energy",kcal,33,81,140
"Protein",g,1.44,3.51,6.12
"Total lipid (fat)",g,0.27,0.66,1.15
"Carbohydrate, by difference",g,7.24,17.67,30.77
"Fiber, total dietary",g,1.4,3.4,6.0
Minerals
"Calcium, Ca",mg,17,41,72
"Iron, Fe",mg,3.48,8.49,14.79
"Magnesium, Mg",mg,19,46,81
"Phosphorus, P",mg,48,117,204
"Potassium, K",mg,369,900,1568
"Sodium, Na",mg,472,1152,2006
"Zinc, Zn",mg,0.34,0.83,1.45
Vitamins
"Vitamin C, total ascorbic acid",mg,8.6,21.0,36.5
"Thiamin",mg,0.074,0.181,0.315
"Riboflavin",mg,0.062,0.151,0.264
"Niacin",mg,1.292,3.152,5.491
"Vitamin B-6",mg,0.177,0.432,0.752
"Folate, DFE",µg,14,34,60
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,49,120,208
"Vitamin A, IU",IU,985,2403,4186
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,0.038,0.093,0.161
"Fatty acids, total monounsaturated",g,0.040,0.098,0.170
"Fatty acids, total polyunsaturated",g,0.108,0.264,0.459
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
